NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
Pelé,Icons,Icons,CAM,Gold,98,95,96,93,96,60,76,2019-11-25 22:25:41
Diego Maradona,Icons,Icons,CAM,Gold,97,92,93,92,97,40,76,2019-11-25 22:25:41
Ronaldo,Icons,Icons,ST,Gold,96,97,95,81,95,45,76,2019-11-25 22:25:41
Zinedine Zidane,Icons,Icons,CAM,Gold,96,85,92,96,95,75,86,2019-11-25 22:25:41
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,95,89,93,93,97,40,68,2019-11-25 22:25:41
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,95,89,93,93,97,40,68,2019-11-25 22:25:41
Diego Maradona,Icons,Icons,CAM,Gold,95,88,91,90,95,42,75,2019-11-25 22:25:41
Pelé,Icons,Icons,CF,Gold,95,96,93,90,95,56,75,2019-11-25 22:25:41
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold,94,91,94,84,90,36,80,2019-11-25 22:25:41
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold,94,91,94,84,90,36,80,2019-11-25 22:25:41
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,94,87,92,92,96,39,66,2019-11-25 22:25:41
Ronaldinho,Icons,Icons,LW,Gold,94,92,90,91,95,37,81,2019-11-25 22:25:41
Johan Cruyff,Icons,Icons,CF,Gold,94,91,92,91,94,42,73,2019-11-25 22:25:41
Paolo Maldini,Icons,Icons,CB,Gold,94,86,56,75,69,96,83,2019-11-25 22:25:41
Ronaldo,Icons,Icons,ST,Gold,94,93,93,80,93,46,80,2019-11-25 22:25:41
Garrincha,Icons,Icons,RW,Gold,94,90,87,94,96,41,68,2019-11-25 22:25:41
Zinedine Zidane,Icons,Icons,CAM,Gold,94,82,90,93,92,72,83,2019-11-25 22:25:41
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,94,87,92,92,96,39,66,2019-11-25 22:25:41
Carlos Alberto,Icons,Icons,RB,Gold,93,90,66,81,86,90,87,2019-11-25 22:25:41
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,ST,Gold,93,90,93,82,89,35,78,2019-11-25 22:25:41
Thierry Henry,Icons,Icons,ST,Gold,93,94,91,83,90,53,80,2019-11-25 22:25:41
George Best,Icons,Icons,RW,Gold,93,93,91,84,94,58,71,2019-11-25 22:25:41
Franco Baresi,Icons,Icons,CB,Gold,93,70,49,76,72,95,82,2019-11-25 22:25:41
Eusébio,Icons,Icons,CF,Gold,93,94,94,86,93,45,79,2019-11-25 22:25:41
Marco van Basten,Icons,Icons,ST,Gold,93,83,94,76,89,39,75,2019-11-25 22:25:41
Ruud Gullit,Icons,Icons,CF,Gold,93,86,91,91,89,82,90,2019-11-25 22:25:41
Lothar Matthäus,Icons,Icons,CM,Gold,93,89,89,90,82,90,85,2019-11-25 22:25:41
Roberto Baggio,Icons,Icons,CAM,Gold,93,86,84,92,92,40,61,2019-11-25 22:25:41
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,ST,Gold,93,90,93,82,89,35,78,2019-11-25 22:25:41
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold,92,92,85,88,95,36,67,2019-11-25 22:25:41
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold,92,92,85,88,95,36,67,2019-11-25 22:25:41
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold,92,91,85,87,95,32,58,2019-11-25 22:25:41
Kevin De Bruyne,Manchester City,England Premier League,CM,Gold,92,77,88,93,88,62,80,2019-11-25 22:25:41
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold,92,92,85,88,95,36,67,2019-11-25 22:25:41
Hristo Stoichkov,Icons,Icons,ST,Gold,92,92,93,86,92,50,86,2019-11-25 22:25:41
Dennis Bergkamp,Icons,Icons,CF,Gold,92,84,91,86,90,37,78,2019-11-25 22:25:41
Ruud van Nistelrooy,Icons,Icons,ST,Gold,92,86,91,74,85,37,82,2019-11-25 22:25:41
Emilio Butragueño,Icons,Icons,ST,Gold,92,94,90,80,92,41,68,2019-11-25 22:25:41
Javier Zanetti,Icons,Icons,RB,Gold,92,86,63,88,85,90,81,2019-11-25 22:25:41
Alessandro Nesta,Icons,Icons,CB,Gold,92,72,42,65,67,94,86,2019-11-25 22:25:41
Bobby Moore,Icons,Icons,CB,Gold,92,68,64,83,78,93,85,2019-11-25 22:25:41
Alessandro Del Piero,Icons,Icons,CF,Gold,92,83,92,89,92,43,67,2019-11-25 22:25:41
Luís Figo,Icons,Icons,RW,Gold,92,92,88,89,92,41,80,2019-11-25 22:25:41
Rivaldo,Icons,Icons,LW,Gold,92,87,91,88,92,44,78,2019-11-25 22:25:41
Gary Lineker,Icons,Icons,ST,Gold,92,88,91,73,86,36,76,2019-11-25 22:25:41
Paolo Maldini,Icons,Icons,CB,Gold,92,82,56,74,68,95,81,2019-11-25 22:25:41
Carles Puyol,Icons,Icons,CB,Gold,92,70,45,68,58,94,90,2019-11-25 22:25:41
Raúl,Icons,Icons,CF,Gold,92,80,43,63,68,95,85,2019-11-25 22:25:41
Fabio Cannavaro,Icons,Icons,CB,Gold,92,90,80,90,91,44,67,2019-11-25 22:25:41
Ryan Giggs,Icons,Icons,LM,Gold,92,90,92,77,90,41,73,2019-11-25 22:25:41
Kenny Dalglish,Icons,Icons,ST,Gold,92,92,93,81,90,44,75,2019-11-25 22:25:41
Hugo Sánchez,Icons,Icons,ST,Gold,92,73,80,95,91,71,67,2019-11-25 22:25:41
Andrea Pirlo,Icons,Icons,CM,Gold,92,90,86,92,94,41,67,2019-11-25 22:25:41
Garrincha,Icons,Icons,RW,Gold,92,91,85,87,95,32,58,2019-11-25 22:25:41
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold,92,73,93,83,84,49,85,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,91,79,91,77,88,43,84,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,91,73,93,83,84,49,85,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,91,79,91,77,88,43,84,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,91,88,92,79,90,35,82,2019-11-25 22:25:41
Sergio Agüero,Manchester City,England Premier League,ST,Gold,91,76,86,92,87,61,78,2019-11-25 22:25:41
Kevin De Bruyne,Manchester City,England Premier League,CAM,Gold,91,91,83,86,94,35,66,2019-11-25 22:25:41
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold,91,94,89,88,93,53,73,2019-11-25 22:25:41
Pelé,Icons,Icons,CF,Gold,91,91,89,88,93,41,72,2019-11-25 22:25:41
Johan Cruyff,Icons,Icons,CF,Gold,91,87,84,86,77,89,82,2019-11-25 22:25:41
Lothar Matthäus,Icons,Icons,CDM,Gold,91,93,87,87,94,38,76,2019-11-25 22:25:41
Diego Maradona,Icons,Icons,CAM,Gold,91,88,82,89,90,38,60,2019-11-25 22:25:41
Roberto Baggio,Icons,Icons,CAM,Gold,91,88,82,88,89,40,64,2019-11-25 22:25:41
Robert Pirès,Icons,Icons,LM,Gold,91,90,89,70,88,34,67,2019-11-25 22:25:41
Michael Owen,Icons,Icons,ST,Gold,91,86,88,80,83,41,82,2019-11-25 22:25:41
Patrick Kluivert,Icons,Icons,ST,Gold,91,83,89,90,90,43,65,2019-11-25 22:25:41
Gheorghe Hagi,Icons,Icons,CAM,Gold,91,83,52,66,67,90,90,2019-11-25 22:25:41
Marcel Desailly,Icons,Icons,CB,Gold,91,79,69,70,78,92,86,2019-11-25 22:25:41
Laurent Blanc,Icons,Icons,CB,Gold,91,93,93,88,90,42,74,2019-11-25 22:25:41
Eusébio,Icons,Icons,CF,Gold,91,77,90,90,85,77,84,2019-11-25 22:25:41
Steven Gerrard,Icons,Icons,CM,Gold,91,79,92,75,87,40,70,2019-11-25 22:25:41
Marco van Basten,Icons,Icons,ST,Gold,91,81,90,88,83,81,86,2019-11-25 22:25:41
