ID,Acceleration,Added on,Age,Aggression,Agility,Att. WR,Balance,Ball Control,Club,Composure,Crossing,Curve,Def. WR,Defending,Diving,Dribbling,FK. Accuracy,Finishing,Foot,Fullname,Handling,Heading Accuracy,Height,Interceptions,Intl. Rep,Jumping,Kicking,League,Long Passing,Long Shots,Marking,Nation,Origin,Pace,Passing,Penalties,Physicality,Positioning,R.Face,Reactions,Reflexes,Revision,Shooting,Short Passing,Shot Power,Skills,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot,Weight
1,95,2018-09-19,78 years old,86,96,High,94,93,Icons,98,97,89,Med,60,,93,97,97,Right,Arantes Nascimento Edson,,67,"173cm | 5'8""",60,,76,,Icons,90,98,67,Brazil,N\A,95,93,94,76,96,,94,,Icon,96,90,97,5,94,95,88,94,88,93,98,4,70
2,92,2018-09-19,58 years old,78,97,High,91,98,Icons,94,95,96,Med,40,,98,95,92,Left,Diego Maradona,,44,"165cm | 5'5""",40,,76,,Icons,88,97,44,Argentina,N\A,92,92,85,76,93,,91,,Icon,93,88,92,5,67,94,82,67,82,92,97,3,70
3,97,2018-09-19,42 years old,81,95,Med,91,85,Icons,95,81,90,Med,45,,85,81,95,Right,Nazário de Lima Ronaldo Luís,,41,"183cm | 6'0""",45,,76,,Icons,75,98,41,Brazil,N\A,97,81,93,76,95,,91,,Icon,95,75,95,5,84,97,82,84,82,81,98,5,78
4,96,2018-09-19,78 years old,87,95,High,96,95,Icons,95,93,88,Med,56,,95,93,94,Right,Arantes Nascimento Edson,,64,"173cm | 5'8""",56,,75,,Icons,88,95,64,Brazil,N\A,96,90,90,75,93,,96,,Icon,93,88,94,5,89,95,89,89,89,90,95,4,69
5,88,2018-09-19,58 years old,75,95,High,89,98,Icons,93,95,93,Med,42,,98,95,92,Left,Diego Maradona,,46,"165cm | 5'5""",42,,75,,Icons,87,94,46,Argentina,N\A,88,90,83,75,91,,89,,Icon,91,87,92,5,67,91,80,67,80,90,94,3,72
6,89,2018-09-19,31 years old,73,97,Med,91,95,FC Barcelona,95,95,95,Med,33,,95,95,95,Left,Lionel Messi,,22,"170cm | 5'7""",33,5,62,,LaLiga Santander,77,96,22,Argentina,N\A,89,89,85,62,92,,91,,CL,92,77,95,4,72,92,69,72,69,89,96,4,72
7,91,2018-09-28,33 years old,89,91,High,87,70,Juventus,97,83,76,Low,36,,70,83,96,Right,C. Ronaldo dos Santos Aveiro,,29,"187cm | 6'2""",36,5,80,,Serie A TIM,85,95,29,Portugal,N\A,91,82,96,80,94,,87,,CL,94,85,96,5,91,89,96,91,96,82,95,4,83
8,86,2018-09-19,50 years old,81,69,Med,65,69,Icons,95,69,31,High,96,,69,69,39,Right,Paolo Maldini,,96,"186cm | 6'1""",96,,83,,Icons,76,57,96,Italy,N\A,86,75,73,83,56,,65,,Icon,56,76,39,2,93,85,84,93,84,75,57,4,83
9,93,2018-09-19,42 years old,79,93,Med,87,81,Icons,94,84,90,Low,46,,81,84,96,Right,Nazário de Lima Ronaldo Luís,,43,"183cm | 6'0""",46,,80,,Icons,72,96,43,Brazil,N\A,93,80,91,80,93,,87,,Icon,93,72,96,5,81,94,81,81,81,80,96,5,82
10,95,2018-09-19,89 years old,45,96,Med,79,64,Icons,92,79,30,Med,65,95,64,79,32,Right,Lev Yashin,89,43,"189cm | 6'2""",65,,95,75,Icons,33,15,43,Russia,N\A,95,75,36,95,89,,79,96,Icon,89,33,32,1,20,65,87,20,87,75,15,3,82
11,92,2018-09-19,38 years old,83,95,High,94,89,Icons,93,93,90,Low,37,,89,93,90,Right,de Assis Moreira Ronaldo,,26,"180cm | 5'11""",37,,81,,Icons,90,93,26,Brazil,N\A,92,91,86,81,90,,94,,Icon,90,90,90,5,54,94,86,54,86,91,93,4,78
12,90,2018-09-19,33 years old,88,90,High,87,70,Juventus,96,82,76,Low,35,,70,82,95,Right,C. Ronaldo dos Santos Aveiro,,29,"187cm | 6'2""",35,5,79,,Serie A TIM,84,94,29,Portugal,N\A,90,81,95,79,93,,87,,Normal,93,84,95,5,89,89,95,89,95,81,94,4,83
13,88,2018-09-19,31 years old,72,96,Med,91,95,FC Barcelona,95,94,94,Med,32,,95,94,94,Left,Lionel Messi,,22,"170cm | 5'7""",32,5,61,,LaLiga Santander,77,95,22,Argentina,N\A,88,88,85,61,91,,91,,Normal,91,77,94,4,70,91,68,70,68,88,95,4,72
14,91,2018-09-19,71 years old,82,94,High,92,82,Icons,97,94,83,Low,42,,82,94,95,Right,Johan Cruyff,,44,"180cm | 5'11""",42,,73,,Icons,87,95,44,Holland,N\A,91,91,84,73,92,,92,,Icon,92,87,95,5,64,93,66,64,66,91,95,5,71
15,90,2018-09-28,33 years old,88,90,High,87,70,Juventus,96,82,76,Low,35,,70,82,95,Right,C. Ronaldo dos Santos Aveiro,,29,"187cm | 6'2""",35,5,79,,Serie A TIM,84,94,29,Portugal,N\A,90,81,95,79,93,,87,,OTW,93,84,95,5,89,89,95,89,95,81,94,4,83
16,83,2018-09-19,54 years old,78,89,Med,86,74,Icons,95,77,78,Med,39,,74,77,96,Right,Marco van Basten,,47,"188cm | 6'2""",39,,75,,Icons,74,97,47,Holland,N\A,83,76,94,75,94,,86,,Icon,94,74,96,3,90,81,85,90,85,76,97,4,78
17,89,2018-09-19,57 years old,93,82,High,77,81,Icons,91,91,91,High,90,,81,91,89,Right,Lothar Matthäus,,93,"174cm | 5'9""",90,,85,,Icons,84,81,93,Germany,N\A,89,90,97,85,89,,77,,Icon,89,84,89,3,79,93,74,79,74,90,81,4,71
18,93,2018-09-19,72 years old,87,94,Med,93,91,Icons,90,86,75,Med,58,,91,86,89,Right,George Best,,63,"175cm | 5'9""",58,,71,,Icons,89,94,63,Northern Ireland,N\A,93,84,89,71,91,,93,,Icon,91,89,89,4,87,94,80,87,80,84,94,4,65
19,86,2018-09-19,56 years old,95,89,High,78,85,Icons,95,92,92,Med,82,,85,92,94,Right,Ruud Gullit,,81,"191cm | 6'3""",82,,90,,Icons,88,89,81,Holland,N\A,86,91,96,90,91,,78,,Icon,91,88,94,4,95,85,86,95,86,91,89,5,88
20,70,2018-09-19,58 years old,85,72,Med,75,76,Icons,93,72,45,High,95,,76,72,41,Right,Franco Baresi,,95,"176cm | 5'9""",95,,82,,Icons,65,46,95,Italy,N\A,70,76,54,82,49,,75,,Icon,49,65,41,2,90,64,82,90,82,76,46,3,70
